OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),Outlier,TotalGHGEmissions
555,2015,NonResidential,Other,Cascade Designs Inc,98134,2,Greater Duwamish,47.56784433,-122.3336582,1940,1.0,1.0,56608,0,56608,Other,45340.0,Office,11520.0,,,,5234454.0,,73.9
556,2015,NonResidential,Refrigerated Warehouse,Seattle Produce Terminal (Charlie'S),98134,2,Greater Duwamish,47.56652481,-122.3327126,1953,1.0,1.0,104099,0,104099,Refrigerated Warehouse,100000.0,Office,4099.0,Parking,,,17714332.0,,145.54
557,2015,NonResidential,Supermarket/Grocery Store,Safeway Store # 1845 (Formerly 3389),98103,5,Northwest,47.69270472,-122.3550623,2003,1.0,1.0,48117,7450,40667,Supermarket/Grocery Store,51722.0,Parking,,,,48.0,13924967.0,,377.36
558,2015,NonResidential,Supermarket/Grocery Store,Q.F.C. & Dollar Store,98155,5,North,47.73314624,-122.3105194,1980,1.0,1.0,58480,0,58480,Supermarket/Grocery Store,44431.0,,,,,39.0,11639369.0,,328.17
560,2015,NonResidential,Warehouse,Evergreen Whlsle Florist (Demolished),98109,7,Lake Union,47.62145274,-122.3311285,1955,1.0,1.0,66968,0,66968,,,,,,,1.0,1575581.0,,11.09
561,2015,NonResidential,Large Office,Alley 24 East,98109,7,Lake Union,47.61985503,-122.33048111,2005,1.0,6.0,336700,124800,211900,Office,193420.0,Parking,124620.0,Retail Store,6180.0,94.0,9697866.0,,67.61
562,2015,NonResidential,Retail Store,Rei - Seattle,98109,7,Lake Union,47.62035862,-122.3297037,1996,1.0,4.0,270723,159994,110729,Retail Store,98863.0,,,,,40.0,10020111.0,,184.4
564,2015,NonResidential,Small- and Mid-Sized Office,900 Poplar Building,98144,3,Greater Duwamish,47.59364401,-122.3109277,1970,1.0,1.0,65430,0,65430,Office,60732.0,Other,8142.0,,,92.0,2855545.0,,76.67
565,2015,NonResidential,Large Office,Northcut Landing,98105,4,Northeast,47.66514721,-122.3018094,2006,1.0,3.0,102290,42440,59850,Office,83715.0,Parking,18575.0,,,28.0,5917000.0,,47.78
566,2015,NonResidential,Other,Centurylink: East Co,98122,3,Central,47.61448142,-122.3098028,1926,1.0,3.0,80004,0,80004,Other,74864.0,,,,,,14265421.0,,99.45
568,2015,NonResidential,Warehouse,K2 And Iron Mountain (Seattle 4),98108,2,Greater Duwamish,47.56415346,-122.3275518,1991,1.0,2.0,323916,0,323916,Non-Refrigerated Warehouse,263528.0,Office,60388.0,,,81.0,11289052.0,,364.9
570,2015,NonResidential,Small- and Mid-Sized Office,Northwest Bldg,98102,4,Lake Union,47.64039142,-122.326242,1978,1.0,4.0,85385,31210,54175,Office,50235.0,Parking,25525.0,Data Center,2875.0,77.0,4904803.0,,34.19
571,2015,NonResidential,Distribution Center,Northwest Center Industries,98108,1,Greater Duwamish,47.53692799,-122.3326807,1989,1.0,2.0,98024,0,98024,Distribution Center,63896.0,Office,33712.0,,,77.0,3228330.0,,70.96
572,2015,NonResidential,Mixed Use Property,Bright Horizons,98109,7,Lake Union,47.62386402,-122.3308079,1928,1.0,1.0,65000,15000,50000,Office,20000.0,Parking,15000.0,Other,10000.0,,2361088.0,,48.6
573,2015,NonResidential,Large Office,Eastlake & Roy - Yale Campus,98109,7,Lake Union,47.62492806,-122.3297812,1990,1.0,5.0,144573,66620,77953,Office,78521.0,Parking,66650.0,,,56.0,5424718.0,,37.82
574,2015,NonResidential,Retail Store,Macy'S - Northgate,98125,5,North,47.70592963,-122.3257763,1950,1.0,2.0,302812,0,302812,Retail Store,302812.0,,,,,97.0,7133767.0,,115.76
575,2015,NonResidential,Small- and Mid-Sized Office,Northway Square East,98133,5,Northwest,47.70744968,-122.3317136,1974,1.0,5.0,86400,0,86400,Office,78200.0,,,,,57.0,8404370.0,,259.33
