country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,gdp_per_capita_usd,cluster
Maldives,0.31497407423339485,0.7021154945683248,122.43,2732.0,8291.479879999999,5
Mali,0.37256495724160543,0.27805164319248826,85.2,2891.0,803.855017,1
Malte,0.04968862456629397,0.5594925237879474,110.35,3378.0,23972.335472,5
Mauritanie,0.3344652917013429,0.3986112745674944,84.97,2875.0,1429.189585,6
Maurice,0.03829299400989572,0.4506054090754781,88.37,3065.0,9662.833893,4
Mexique,0.1599341494682911,0.4639963482825516,87.63,3072.0,10400.569944,4
Mongolie,0.16191765554901294,0.6006931550934522,80.78999999999998,2510.0,4385.3696009999985,4
Maroc,0.1333882992716411,0.2720310425814357,97.93,3402.0,3158.206345,6
Mozambique,0.3407166895627736,0.13894967177242887,45.7,2283.0,605.9858849999998,1
République de Moldova,-0.023895124370571952,0.4934883069598096,71.41,2714.0,1961.072076,4
Namibie,0.16611084123863915,0.3388802218755417,57.69,2171.0,5490.05793,1
Népal,0.12162770444649815,0.16572668112798264,69.15,2673.0,651.313871,1
Pays-Bas,0.03942657440294717,0.6781526895193771,111.73,3228.0,52074.773952,3
Nouvelle-Calédonie,0.16381662563437138,0.6010571067448006,87.03,2853.0,38344.045038,5
Macédoine du Nord,0.010866230387654552,0.4107756973633933,78.50999999999998,2949.0,5211.499148,4
Vanuatu,0.27230051667638344,0.4194890929965556,69.68,2835.0,3167.343056,4
Nouvelle-Zélande,0.12318485834032168,0.592348427537015,92.53,3137.0,42232.040825,5
Nicaragua,0.13449423274225536,0.3045101982189026,69.62,2638.0,1847.2007260000007,1
Niger,0.4558395559091624,0.1819866567828021,80.94,2547.0,416.139942,1
Nigéria,0.3020080701186512,0.15448557089084064,63.76,2700.0,2996.963827,1
Norvège,0.11093725178365664,0.5950405770964833,110.9,3486.0,103110.441896,3
Pakistan,0.2302532898345384,0.41631032376298105,65.48,2440.0,1212.181336,1
Panama,0.1960903335250752,0.5242290748898679,79.44999999999997,2733.0,11879.756529,4
Tchéquie (la),0.034690339952713645,0.5771121527380816,87.47,3256.0,19765.238618,4
Paraguay,0.1529596376572544,0.4833828312827039,70.71000000000002,2589.0,4479.905893,4
Pérou,0.1346801279305636,0.36091831286705817,74.92,2700.0,6583.118622,4
Philippines,0.186061838313476,0.4147196261682243,59.92,2570.0,2760.290133,4
Pologne,-0.0033657375488003183,0.5249827535232089,101.47,3451.0,13684.131318000002,5
Portugal,0.003867699337272157,0.6068368359339767,110.87,3477.0,21474.211015,5
Guinée-Bissau,0.2727009193143817,0.2018619436875568,44.04,2293.0,621.94077,1
Timor-Leste,0.23262063252197016,0.3085883171070932,57.52,2132.0,4770.327214,1
Zimbabwe,0.19159638550163935,0.24322647362978286,48.35,2110.0,1026.388289,1
Roumanie,-0.07642892865494122,0.4582160535766282,103.03,3359.0,9544.854848,5
Rwanda,0.2747361683508931,0.09839816933638444,56.81,2228.0,688.876883,1
Fédération de Russie,-0.006829664785750643,0.5462854920264488,102.84,3360.0,15997.000015,5
Saint-Kitts-et-Nevis,0.12393776687946545,0.6302544247787611,72.32,2491.0,14834.052626,4
