country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,animals_proportion_poultry_protein,poultry_food_proportion_import,gdp_per_capita_usd,income_variability,taux_urbanisation,political_stability,doing_business_score,cluster
Malaisie,0.2032517058510528,0.5564407402867998,81.59,2916.0,0.2927312775330396,0.03855619360131255,10882.259575,1.131687242798354,0.7330942987856891,0.05,76.79,1
Maldives,0.31497407423339485,0.7021154945683248,122.43,2732.0,0.0732899022801303,1.6666666666666667,8291.479879999999,1.7203513909224009,0.3769379235374197,0.13,59.9,7
Mali,0.37256495724160543,0.27805164319248826,85.2,2891.0,0.044322498944702415,0.06382978723404255,803.855017,1.7640954686959531,0.3562515376732527,-1.72,58.12,4
Malte,0.04968862456629397,0.5594925237879474,110.35,3378.0,0.17476514415289926,0.8181818181818182,23972.335472,0.3848431024274719,0.9643280739806164,1.04,72.37,1
Mauritanie,0.3344652917013429,0.3986112745674944,84.97,2875.0,0.05107764983761441,0.7727272727272727,1429.189585,0.6608695652173913,0.5779923318052694,-1.01,51.24,6
Maurice,0.03829299400989572,0.4506054090754781,88.37,3065.0,0.3292315419387242,0.04166666666666666,9662.833893,2.1533442088091355,0.39632116881358104,0.94,81.85,7
Mexique,0.1599341494682911,0.4639963482825516,87.63,3072.0,0.21101819970486968,0.230393487109905,10400.569944,0.6184895833333334,0.7856065511670292,-0.71,74.36,6
Mongolie,0.16191765554901294,0.6006931550934522,80.78999999999998,2510.0,0.0212239851638162,0.8888888888888888,4385.3696009999985,0.8366533864541833,0.6962898211882652,0.49,66.31,6
Maroc,0.1333882992716411,0.2720310425814357,97.93,3402.0,0.2717717717717717,0.005830903790087464,3158.206345,0.3527336860670194,0.5777075669016395,-0.49,75.04,6
Mozambique,0.3407166895627736,0.13894967177242887,45.7,2283.0,0.07401574803149606,0.2777777777777778,605.9858849999998,1.4892685063512925,0.309491369796869,-0.23,61.1,4
République de Moldova,-0.023895124370571952,0.4934883069598096,71.41,2714.0,0.17508513053348465,0.3015873015873016,1961.072076,1.8054532056005896,0.3843395963225608,0.0,78.31,1
Namibie,0.16611084123863915,0.3388802218755417,57.69,2171.0,0.22506393861892585,0.6428571428571429,5490.05793,3.1321971441731917,0.4442400669970473,-0.454,67.62,8
Népal,0.12162770444649815,0.16572668112798264,69.15,2673.0,0.045375218150087264,0.0,651.313871,0.5985783763561542,0.17756887452738598,-1.13,62.52,4
Pays-Bas,0.03942657440294717,0.6781526895193771,111.73,3228.0,0.13065857199419295,1.4264339152119698,52074.773952,0.3717472118959108,0.8884433741957025,1.14,85.22,3
Nouvelle-Calédonie,0.16381662563437138,0.6010571067448006,87.03,2853.0,0.29306060026763525,1.0,38344.045038,0.5257623554153522,0.6767332724933083,0.356,72.21799999999999,1
Macédoine du Nord,0.010866230387654552,0.4107756973633933,78.50999999999998,2949.0,0.20093023255813955,0.95,5211.499148,1.8650389962699219,0.5784354391375794,-0.42,82.31,1
Vanuatu,0.27230051667638344,0.4194890929965556,69.68,2835.0,0.13752993499828942,0.6666666666666666,3167.343056,0.3880070546737213,0.2546989436758815,1.16,62.99,6
Nouvelle-Zélande,0.12318485834032168,0.592348427537015,92.53,3137.0,0.22386425834701693,0.006329113924050633,42232.040825,1.0519604717883329,0.8599809143365386,1.45,84.34,2
Nicaragua,0.13449423274225536,0.3045101982189026,69.62,2638.0,0.3207547169811321,0.04615384615384616,1847.2007260000007,0.9476876421531464,0.5946406734090772,-0.25,62.58,6
Niger,0.4558395559091624,0.1819866567828021,80.94,2547.0,0.02511880515953836,0.10526315789473684,416.139942,0.5104043973301924,0.17631777975610174,-1.32,59.32,4
Nigéria,0.3020080701186512,0.15448557089084064,63.76,2700.0,0.05482233502538072,0.003322259136212625,2996.963827,0.8148148148148148,0.4657291486539988,-2.09,48.75,4
Norvège,0.11093725178365664,0.5950405770964833,110.9,3486.0,0.12971662373086834,0.018867924528301886,103110.441896,0.6310958118187033,0.7939674629281552,1.35,88.61,2
Pakistan,0.2302532898345384,0.41631032376298105,65.48,2440.0,0.06162876008804107,0.0021929824561403508,1212.181336,0.860655737704918,0.3794926047916492,-2.6,57.59,4
Panama,0.1960903335250752,0.5242290748898679,79.44999999999997,2733.0,0.22232893157262906,0.12605042016806722,11879.756529,0.6586169045005489,0.6643580163096574,-0.14,62.17,6
Tchéquie (la),0.034690339952713645,0.5771121527380816,87.47,3256.0,0.1283676703645008,0.4950980392156863,19765.238618,0.33783783783783783,0.7380249207110757,1.08,80.28,1
Paraguay,0.1529596376572544,0.4833828312827039,70.71000000000002,2589.0,0.05558806319485079,0.02325581395348837,4479.905893,2.5492468134414827,0.622540188748697,-0.74,63.9,8
Pérou,0.1346801279305636,0.36091831286705817,74.92,2700.0,0.21560650887573965,0.08707865168539326,6583.118622,0.3333333333333333,0.7746950537654672,-0.81,64.6,6
Philippines,0.186061838313476,0.4147196261682243,59.92,2570.0,0.1601609657947686,0.08454312553373185,2760.290133,1.1673151750972763,0.4459358224434529,-1.08,62.1,6
Pologne,-0.0033657375488003183,0.5249827535232089,101.47,3451.0,0.20818471935423316,0.046755725190839696,13684.131318000002,0.8693132425383947,0.6047045414459215,0.97,80.04,1
Portugal,0.003867699337272157,0.6068368359339767,110.87,3477.0,0.18608799048751484,0.2,21474.211015,0.6039689387402933,0.6281506247248917,0.75,84.51,1
Guinée-Bissau,0.2727009193143817,0.2018619436875568,44.04,2293.0,0.07086614173228346,0.3333333333333333,621.94077,0.9594417793283908,0.4839294794215862,-0.9,47.78,4
Timor-Leste,0.23262063252197016,0.3085883171070932,57.52,2132.0,0.1076056338028169,1.0,4770.327214,1.0318949343339587,0.3011636605576317,-0.38,45.97,6
Zimbabwe,0.19159638550163935,0.24322647362978286,48.35,2110.0,0.14370748299319727,0.08571428571428573,1026.388289,1.753554502369668,0.3069094396056569,-0.67,48.89,4
Roumanie,-0.07642892865494122,0.4582160535766282,103.03,3359.0,0.13238720610040244,0.2694610778443114,9544.854848,0.8038106579339089,0.5864118064195191,0.18,79.26,1
Rwanda,0.2747361683508931,0.09839816933638444,56.81,2228.0,0.08050089445438283,0.0,688.876883,1.0771992818671454,0.2859586823532729,-0.11,74.21,4
