validation_hamming_loss,training_hamming_loss,fit_time,test_time,params_data,params_vectorizer,params_classifier,iteration
0.024883536876799568,0.024878559401351162,2.8690074920654296,0.10242533683776855,title,"{'max_df': 0.9502277823352403, 'min_df': 0.02233590193627456, 'ngram_range': (1, 1), 'vectorizer': 'tfidf'}","{'C': 0.05869504955928049, 'multi': 'ClassifierChain', 'classifier': 'svm'}",40
0.01515347615282676,0.008970232152631999,47.3773627281189,0.9490131378173828,both,{'vectorizer': 'use'},"{'C': 0.01020427223774512, 'multi': 'ClassifierChain', 'classifier': 'svm'}",42
0.025116902566558002,0.007542111002792419,104.72011623382568,0.8058419704437256,both,{'vectorizer': 'use'},"{'C': 14.78005570663802, 'multi': 'ClassifierChain', 'classifier': 'svm'}",43
0.021610182462439627,0.017627607930783096,28.296936798095704,0.4281322956085205,body,"{'max_df': 0.96254274553366, 'min_df': 0.010239362233608894, 'ngram_range': (1, 1), 'vectorizer': 'tfidf'}","{'C': 0.011738510230718363, 'multi': 'ClassifierChain', 'classifier': 'logistic_regression'}",44
0.017956784765855445,0.009168266225269629,84.6804633140564,0.3713531970977783,title,{'vectorizer': 'use'},"{'C': 0.03973766224348881, 'multi': 'BinaryRelevance', 'classifier': 'svm'}",45
0.020401661249291735,0.004052311579696962,75.99818987846375,0.9228865623474121,both,{'vectorizer': 'use'},"{'C': 9.34316121342831, 'multi': 'ClassifierChain', 'classifier': 'logistic_regression'}",46
0.02305735192208336,0.02289530678908607,34.01005630493164,0.3929481506347656,both,"{'max_df': 0.9817991572094279, 'min_df': 0.04046550457051375, 'ngram_range': (1, 2), 'vectorizer': 'tfidf'}","{'C': 0.36692230083004684, 'multi': 'BinaryRelevance', 'classifier': 'svm'}",47
0.01769231980619226,0.01001611511311872,55.47425603866577,0.3972562313079834,title,{'vectorizer': 'use'},"{'C': 0.09959271063726427, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",49
0.024336280754300686,0.02414188436988394,16.667326498031617,0.5148564338684082,both,"{'max_df': 0.9669957384741902, 'min_df': 0.04840665772491595, 'ngram_range': (1, 3), 'vectorizer': 'bow'}","{'C': 0.010479838177554128, 'multi': 'ClassifierChain', 'classifier': 'svm'}",50
0.022905814461219302,0.008591006168286465,131.13723225593566,0.3787362575531006,body,{'vectorizer': 'use'},"{'C': 0.10616355416034182, 'multi': 'BinaryRelevance', 'classifier': 'svm'}",51
0.025721718194120946,0.021361401522277394,38.86838669776917,0.5654383659362793,both,"{'max_df': 0.9731932834396302, 'min_df': 0.026074648547784497, 'ngram_range': (1, 3), 'vectorizer': 'bow'}","{'C': 4.415884468160367, 'multi': 'ClassifierChain', 'classifier': 'logistic_regression'}",52
0.034062738012372,0.0338129852600207,29.539274883270263,0.1252230167388916,title,"{'max_df': 0.9598988995205681, 'min_df': 0.01864806795558736, 'ngram_range': (1, 2), 'vectorizer': 'tfidf'}","{'C': 99.63069169890477, 'multi': 'ClassifierChain', 'classifier': 'svm'}",53
0.023304339824110364,0.005245858315108571,104.33938298225402,0.8616096019744873,both,{'vectorizer': 'use'},"{'C': 1.355307582802979, 'multi': 'ClassifierChain', 'classifier': 'svm'}",55
0.028719961514155967,0.028228483272458978,47.88181920051575,0.5268419742584228,both,"{'max_df': 0.9602567199009975, 'min_df': 0.04911421878909755, 'ngram_range': (1, 3), 'vectorizer': 'bow'}","{'C': 7.108716512053843, 'multi': 'ClassifierChain', 'classifier': 'svm'}",56
0.018871231815714228,0.012961683100811328,49.05782928466797,0.9408027648925781,body,{'vectorizer': 'use'},"{'C': 0.03296680060874549, 'multi': 'ClassifierChain', 'classifier': 'logistic_regression'}",57
0.023235748788341892,0.006491434650883173,121.3122766494751,0.3842162609100342,title,{'vectorizer': 'use'},"{'C': 0.2737105807067977, 'multi': 'BinaryRelevance', 'classifier': 'svm'}",58
0.020899647015335275,0.017662274444085396,15.372025442123412,0.5287569046020508,both,"{'max_df': 0.9502119594449022, 'min_df': 0.01887458753653285, 'ngram_range': (1, 2), 'vectorizer': 'bow'}","{'C': 0.016331635255053368, 'multi': 'ClassifierChain', 'classifier': 'svm'}",59
0.10220219783628366,0.09859214044156668,1.8719444751739502,0.40035443305969237,both,"{'max_df': 0.9659535135122873, 'min_df': 0.029517291194725456, 'ngram_range': (1, 1), 'vectorizer': 'tfidf'}","{'alpha': 1.5709403040621512, 'multi': 'ClassifierChain', 'classifier': 'naive_bayes'}",60
0.017289403605543843,0.006222707592678091,89.3405438899994,0.38478708267211914,both,{'vectorizer': 'use'},"{'C': 0.048506694054663325, 'multi': 'BinaryRelevance', 'classifier': 'svm'}",61
0.021648661466281992,0.009239366729434964,81.28074703216552,1.059904146194458,body,{'vectorizer': 'use'},"{'C': 0.3754845274262752, 'multi': 'ClassifierChain', 'classifier': 'logistic_regression'}",62
